timestamp,ax,ay,az,gx,gy,gz,p1,p2
0,5.52,6.44,-7.4,-0.35,0.34,-0.29,21,8
22,6.38,6.43,-5.19,-0.37,0.34,-0.11,21,9
44,6.86,6.42,-4.42,-0.16,-0.02,-0.16,22,9
66,6.37,6.2,-5.38,-0.09,-0.27,-0.28,21,14
88,5.93,6.51,-6.42,-0.16,-0.36,-0.39,23,16
110,5.53,6.69,-6.16,-0.23,-0.41,-0.36,22,15
132,5.14,6.95,-6.09,-0.24,-0.43,-0.28,25,14
154,5.04,6.78,-5.99,-0.17,-0.32,-0.09,22,22
176,5.3,6.26,-6.19,-0.13,-0.18,0.01,23,22
198,5.79,6.28,-6.38,-0.06,-0.05,-0.08,22,27
220,5.11,6.83,-6.29,0.02,-0.05,-0.09,22,32
242,5.04,6.55,-6.37,0.04,0.06,0.05,21,18
264,5.54,6.51,-6.47,-0.06,0.2,0.09,23,26
286,5.6,6.78,-6.1,-0.11,0.23,0.01,20,25
308,5.44,6.82,-5.52,-0.07,0.11,-0.03,21,23
330,5.48,7.01,-5.7,0.02,-0.02,-0.06,23,26
352,5.42,6.66,-6.15,-0.02,-0.05,-0.01,26,24
374,5.68,6.64,-6.13,-0.07,-0.06,-0.04,22,21
396,5.41,6.39,-6.4,-0.1,-0.12,-0.09,21,23
418,5.61,6.39,-6.34,-0.18,-0.11,-0.15,28,25
440,5.32,6.44,-6.35,-0.25,-0.08,-0.16,25,21
462,5.22,6.79,-5.88,-0.25,-0.02,-0.09,23,24
484,5.53,6.75,-5.86,-0.22,-0.04,-0.11,22,23
506,5.42,6.91,-5.81,-0.2,-0.03,-0.13,18,27
528,5.25,7.17,-5.65,-0.09,-0.04,-0.08,23,25
550,5.07,6.82,-5.63,-0.04,-0.05,-0.05,23,22
572,5.27,6.98,-5.81,0.03,-0.02,-0.03,25,33
594,5.13,7.0,-6.09,0.04,0.01,-0.01,26,25
616,5.0,6.73,-6.05,0.04,0.06,0.05,22,22
638,5.29,6.78,-6.22,-0.01,0.11,0.05,21,26
660,5.26,6.82,-6.04,-0.03,0.11,0.01,21,24
682,5.34,6.9,-5.6,-0.0,0.06,0.03,24,29
704,5.47,6.77,-5.74,0.03,0.03,0.01,25,23
726,5.24,6.88,-5.92,0.03,-0.01,-0.01,25,27
748,5.16,6.81,-6.14,0.01,0.01,0.03,21,16
770,5.38,6.96,-5.94,0.02,0.02,0.02,25,7
792,5.12,6.84,-5.88,0.03,0.0,0.02,23,28
814,5.25,6.85,-5.85,0.03,0.02,0.08,20,22
836,5.44,6.66,-5.78,0.04,0.0,0.08,22,20
858,5.36,6.64,-6.05,0.06,-0.03,0.04,21,22
880,5.32,6.68,-6.32,0.02,-0.01,0.01,22,18
902,5.25,6.78,-6.05,-0.01,0.01,0.01,23,21
924,5.39,6.8,-5.85,0.01,0.05,0.01,21,25
946,5.37,6.83,-5.97,0.03,0.03,0.01,26,19
968,5.4,6.8,-5.88,0.05,-0.02,-0.01,26,23
990,5.26,6.8,-5.97,0.06,-0.01,0.0,21,27
1012,5.26,6.76,-6.06,0.04,-0.02,0.03,19,17
1034,5.27,6.63,-6.17,0.03,0.0,0.05,23,17
1056,5.33,6.58,-6.23,0.01,0.02,0.03,22,20
1078,5.48,6.56,-6.09,-0.01,0.03,-0.0,22,29
1100,5.43,6.58,-6.19,-0.01,0.04,-0.03,20,15
1122,5.32,6.87,-6.06,0.02,0.04,-0.07,22,18
1144,5.17,6.71,-6.03,0.02,0.03,-0.04,23,15
1166,5.44,6.79,-6.09,0.0,0.01,-0.02,22,14
1188,5.32,6.7,-6.0,0.02,-0.0,-0.03,20,13
1210,5.24,6.69,-6.12,0.03,0.03,-0.04,20,17
1232,5.23,6.66,-6.21,0.01,0.07,-0.03,23,10
1254,5.29,6.73,-6.15,-0.01,0.1,-0.03,22,11
1276,5.32,6.76,-5.95,0.0,0.05,-0.03,20,11
1298,5.36,6.8,-5.96,0.02,0.02,-0.03,20,14
1320,5.29,6.65,-6.06,0.01,-0.02,-0.03,20,7
1342,5.28,6.68,-6.12,-0.0,0.01,-0.03,21,14
1364,5.2,6.64,-6.26,-0.02,0.05,-0.03,25,14
1386,5.24,6.79,-6.2,-0.04,0.08,-0.01,22,10
1408,5.25,6.77,-5.92,-0.02,0.06,-0.02,21,14
1430,5.32,6.77,-5.91,-0.0,0.04,-0.01,19,14
1452,5.35,6.73,-6.0,0.03,0.01,-0.02,19,6
1474,5.32,6.71,-6.1,0.04,0.01,-0.03,23,9
1496,5.24,6.57,-6.15,0.02,-0.01,-0.03,25,6
1518,5.33,6.75,-6.17,0.02,0.02,-0.02,23,6
1540,5.24,6.7,-6.05,0.02,0.04,-0.01,23,15
1562,5.33,6.55,-6.21,-0.02,0.04,-0.03,23,12
1584,5.18,6.68,-6.12,-0.04,0.06,-0.04,23,11
1611,5.26,6.88,-6.07,-0.02,0.07,-0.02,21,3
1633,5.18,6.83,-5.95,-0.0,0.04,0.0,22,8
1655,5.37,6.64,-6.11,0.01,0.02,0.0,24,12
1677,5.21,6.76,-6.13,0.0,-0.0,-0.01,20,7
1699,5.13,6.69,-6.22,0.0,0.05,0.01,21,15
1721,5.29,6.68,-6.15,-0.01,0.09,0.01,19,5
1743,5.26,6.67,-6.12,-0.02,0.12,0.01,23,6
1765,5.15,6.71,-6.08,-0.01,0.19,0.04,20,5
1787,5.32,6.73,-6.24,-0.03,0.24,0.07,22,11
1809,5.56,6.77,-5.94,-0.05,0.17,0.06,17,9
1831,5.21,6.67,-5.77,-0.04,0.1,0.04,20,11
1853,5.49,6.71,-5.86,0.02,0.01,-0.01,23,10
1875,5.34,6.56,-6.09,-0.0,-0.01,-0.05,20,13
1897,5.32,6.68,-6.15,-0.03,0.02,-0.03,21,9
1919,5.38,6.73,-6.11,-0.04,0.04,-0.02,19,13
1941,5.38,6.76,-5.99,-0.03,0.03,-0.03,22,13
1963,5.4,6.79,-5.98,-0.0,0.04,-0.02,21,14
1985,5.46,6.71,-6.0,-0.0,0.02,-0.03,20,12
2007,5.42,6.7,-6.0,-0.01,0.03,-0.02,19,11
2029,5.32,6.76,-6.1,-0.01,0.04,0.0,21,10
2051,5.38,6.78,-5.96,0.0,0.03,-0.01,22,14
2073,5.38,6.74,-6.1,0.0,0.04,-0.01,27,6
2095,5.34,6.82,-5.96,-0.01,0.04,0.0,22,13
2117,5.36,6.71,-5.99,0.0,0.02,0.01,20,13
2139,5.41,6.62,-6.19,-0.03,0.03,-0.01,20,19
2161,5.4,6.74,-6.12,-0.04,0.05,-0.0,23,10
2183,5.36,6.66,-6.1,-0.02,0.06,0.01,20,14
2205,5.46,6.73,-6.0,-0.03,0.06,0.0,27,11
2227,5.46,6.79,-5.93,-0.03,0.04,-0.02,21,12
2249,5.31,6.84,-5.78,-0.01,-0.01,-0.01,21,19
2271,5.31,6.73,-6.01,0.01,-0.01,0.0,21,9
2293,5.24,6.68,-6.13,-0.02,0.03,0.01,27,15
2315,5.42,6.72,-6.05,-0.04,0.06,0.01,25,11
2337,5.46,6.75,-5.89,-0.02,0.04,0.01,22,11
2359,5.38,6.79,-5.92,0.0,0.03,0.01,21,30
2381,5.44,6.75,-5.97,0.02,0.01,0.0,20,14
2403,5.35,6.61,-6.03,-0.0,0.02,0.0,22,19
2425,5.42,6.57,-6.1,-0.03,0.02,-0.01,23,15
2447,5.51,6.64,-5.94,-0.03,0.05,-0.02,20,11
2469,5.31,6.8,-5.9,-0.0,0.04,-0.02,19,16
2491,5.39,6.73,-6.02,0.0,0.03,0.01,20,13
2513,5.37,6.55,-6.03,-0.01,0.02,-0.01,26,16
2535,5.47,6.6,-6.08,-0.03,0.05,-0.04,22,12
2557,5.38,6.81,-5.93,-0.03,0.05,-0.04,22,12
2579,5.35,6.87,-5.86,-0.01,0.04,-0.01,20,11
2601,5.44,6.74,-5.96,0.01,0.03,-0.01,23,12
2623,5.4,6.67,-6.04,0.0,0.04,-0.01,21,11
2645,5.38,6.7,-6.11,-0.03,0.06,-0.01,22,13
2667,5.37,6.8,-5.83,-0.02,0.05,-0.01,21,15
2689,5.45,6.82,-5.69,-0.01,0.02,-0.0,21,10
2711,5.38,6.8,-5.88,0.01,0.01,0.01,21,16
2733,5.45,6.66,-5.92,0.03,-0.01,0.01,20,11
2755,5.39,6.68,-6.01,-0.0,-0.01,0.0,23,4
2777,5.37,6.64,-6.15,-0.03,-0.01,0.0,25,8
2799,5.43,6.66,-6.03,-0.05,-0.02,-0.02,18,9
2821,5.43,6.67,-6.2,-0.08,-0.03,-0.05,21,9
2843,5.34,6.63,-6.19,-0.11,-0.03,-0.08,20,6
2865,5.35,6.61,-6.18,-0.16,0.02,-0.1,21,15
2887,5.49,6.62,-6.14,-0.21,-0.01,-0.12,22,10
2909,5.28,6.63,-5.97,-0.27,0.05,-0.09,20,10
2931,5.34,6.95,-5.51,-0.21,0.02,-0.07,28,14
2953,5.14,6.76,-5.74,-0.18,-0.0,-0.06,20,29
2975,5.49,6.96,-5.7,-0.19,-0.07,-0.07,22,28
2997,5.37,6.96,-5.47,-0.11,-0.11,-0.08,22,18
3019,4.85,7.15,-5.93,-0.11,-0.01,-0.01,21,22
3041,5.5,7.02,-5.77,-0.08,0.02,-0.02,20,20
3063,5.11,7.08,-5.95,-0.04,0.1,-0.02,23,24
3085,5.33,7.01,-5.77,-0.03,0.09,-0.01,20,23
3107,5.06,6.91,-5.85,-0.01,0.13,0.03,21,17
3129,5.36,6.89,-5.92,0.05,0.24,0.1,20,22
3151,5.76,7.11,-6.1,0.02,0.21,0.05,21,21
3173,4.88,6.74,-5.45,0.07,0.24,0.05,21,27
3195,5.76,7.34,-6.26,0.14,0.29,0.07,19,25
3217,5.2,6.68,-5.46,0.1,0.25,-0.0,23,27
3239,5.63,6.98,-5.61,0.15,0.22,-0.03,20,29
3261,5.44,6.78,-5.74,0.2,0.17,-0.2,19,32
3283,5.45,7.03,-5.9,0.17,0.07,-0.29,20,19
3305,5.78,6.99,-5.79,0.06,-0.13,-0.38,17,31
3327,5.99,6.99,-5.51,0.02,-0.24,-0.52,18,32
3349,5.41,6.82,-5.89,-0.08,-0.34,-0.39,22,20
3371,5.24,7.3,-6.09,-0.1,-0.26,-0.34,22,17
3393,4.51,7.17,-5.62,-0.14,-0.31,-0.2,21,28
3415,4.2,6.9,-5.17,-0.12,-0.36,-0.2,22,36
3437,4.52,6.93,-5.87,-0.08,-0.25,-0.07,23,24
3459,4.79,7.19,-6.45,-0.1,-0.15,0.02,21,30
3481,4.51,7.16,-5.81,-0.14,-0.06,0.2,25,23
3503,4.06,6.62,-5.81,-0.09,0.04,0.36,22,13
3525,4.95,6.82,-6.02,0.01,0.09,0.25,23,20
3547,4.57,6.99,-6.11,0.02,0.2,0.31,21,18
3569,5.6,7.22,-5.72,0.03,0.23,0.27,23,24
3591,5.26,6.98,-5.85,-0.0,0.09,0.15,20,37
3618,5.43,6.95,-6.18,0.01,0.03,0.01,25,26
3640,4.92,7.02,-5.96,-0.0,0.07,-0.01,24,27
3662,5.14,6.99,-5.78,0.01,0.06,0.0,24,28
3684,5.78,7.11,-5.82,-0.04,-0.06,-0.15,21,28
3706,5.42,7.28,-5.81,-0.1,-0.27,-0.3,22,22
3728,3.85,7.51,-4.88,-0.09,-0.15,-0.24,25,17
3750,5.2,7.39,-6.26,-0.2,-0.36,-0.27,25,22
3772,4.85,7.14,-5.98,-0.16,-0.26,-0.18,22,25
3794,4.41,6.81,-5.58,-0.15,-0.22,-0.16,25,22
3816,5.27,7.31,-6.4,-0.19,-0.24,-0.1,23,31
3838,4.3,6.92,-5.47,-0.11,-0.24,-0.01,21,32
3860,4.32,7.52,-5.83,-0.16,-0.11,0.22,21,40
3882,5.06,6.94,-5.24,-0.12,0.01,0.35,20,27
3904,4.53,6.94,-6.15,0.02,0.09,0.19,20,28
3926,5.35,7.39,-6.56,0.01,0.15,0.11,22,23
3948,4.69,7.51,-5.63,0.03,0.12,0.01,21,21
3970,5.15,7.79,-4.98,0.18,0.13,0.07,20,19
3992,5.56,9.29,-5.03,0.27,-0.01,0.13,20,15
4014,5.07,7.99,-2.41,0.76,-0.57,0.49,22,8
4036,6.1,5.82,-5.78,0.73,-0.91,0.48,21,19
4058,5.49,5.7,-8.08,0.37,-0.8,0.15,21,15
4080,3.42,5.36,-9.73,-0.23,0.09,0.14,23,10
4102,4.4,6.12,-7.12,-0.6,0.37,0.12,22,6
4124,4.63,6.04,-6.05,-0.35,0.22,-0.07,20,17
4146,4.42,5.95,-6.4,0.05,0.02,-0.24,21,17
4168,4.16,6.65,-7.95,-0.1,0.38,-0.17,22,9
4190,4.83,7.22,-5.93,-0.25,0.55,-0.07,22,13
4212,4.99,7.31,-4.88,-0.08,0.46,0.0,23,15
4234,5.26,7.51,-5.38,0.05,0.27,0.03,23,17
4256,5.0,6.95,-5.82,0.05,0.12,0.05,21,25
4278,4.91,6.74,-6.51,0.0,0.22,0.04,23,20
4300,4.96,6.92,-6.18,-0.03,0.28,0.02,20,17
4322,5.12,6.88,-5.89,0.01,0.29,0.04,21,18
4344,5.27,6.92,-6.05,-0.03,0.29,0.02,21,18
4366,5.16,7.19,-5.51,-0.03,0.22,0.06,22,24
4388,5.15,6.56,-5.69,-0.01,0.19,0.12,22,17
4410,5.36,7.09,-6.04,-0.01,0.2,0.06,21,21
4432,5.19,7.28,-5.86,-0.03,0.14,-0.01,24,16
4454,5.14,7.14,-5.89,-0.03,0.08,-0.0,25,28
4476,5.3,7.01,-5.85,-0.05,0.02,-0.02,20,18
4498,5.03,6.95,-5.66,-0.04,0.03,-0.01,22,28
4520,6.55,7.68,-6.22,-0.14,-0.15,-0.27,18,24
4542,5.7,7.91,-5.64,-0.26,-0.43,-0.54,23,18
4564,4.52,7.12,-5.97,-0.19,-0.31,-0.4,19,29
4586,5.04,6.96,-6.04,-0.27,-0.3,-0.4,18,34
4608,4.3,6.77,-5.94,-0.29,-0.22,-0.29,20,29
4630,4.47,6.73,-5.35,-0.11,-0.06,-0.11,23,31
4652,4.73,6.95,-5.78,-0.06,-0.08,-0.12,21,30
4674,4.95,7.2,-5.75,0.0,-0.0,-0.01,21,29
4696,4.87,7.15,-5.88,-0.01,-0.01,-0.05,23,22
4718,4.43,7.24,-5.3,0.04,-0.01,0.01,21,24
4740,4.93,7.11,-5.43,0.16,0.03,0.16,20,19
4762,5.09,7.41,-6.19,0.12,-0.02,0.12,22,9
4784,3.98,7.4,-6.11,0.01,0.04,0.32,25,14
4806,5.92,7.34,-5.26,-0.1,-0.02,0.34,21,23
4828,5.27,7.44,-5.91,-0.12,-0.18,0.13,20,21
4850,5.22,7.0,-5.75,-0.13,-0.26,0.05,19,25
4872,4.77,7.35,-6.25,-0.19,-0.21,-0.01,22,16
4894,4.94,7.22,-6.28,-0.22,-0.19,-0.13,23,24
4916,5.12,7.12,-5.89,-0.17,-0.11,-0.25,22,25
4938,4.61,7.42,-5.17,-0.1,-0.09,-0.25,21,26
4960,3.57,7.39,-5.79,-0.02,-0.01,-0.22,20,25
4982,3.9,7.04,-6.28,0.05,0.13,-0.21,21,26
5004,4.33,7.23,-5.69,0.11,0.27,-0.17,21,28
5026,5.15,7.03,-5.41,0.08,0.17,-0.02,21,26
5048,5.04,7.91,-6.01,0.14,0.16,-0.01,21,19
5070,4.74,7.17,-5.87,0.12,0.04,-0.01,21,17
5092,4.21,7.32,-6.0,0.13,0.1,0.1,19,19
5114,4.59,7.49,-6.36,0.06,0.17,0.1,20,18
5136,4.86,7.55,-5.86,-0.01,0.05,-0.0,21,17
5158,4.9,7.76,-5.03,0.16,0.15,0.03,22,16
5180,6.25,9.01,-4.89,0.37,0.12,-0.0,22,9
5202,5.07,9.39,-1.81,0.89,-0.56,0.17,20,12
5224,6.33,5.6,-4.08,1.11,-1.03,0.33,21,21
5246,5.78,4.5,-7.74,0.94,-1.02,-0.09,23,16
5268,2.99,5.44,-11.27,-0.44,0.3,-0.19,22,16
5290,2.45,6.45,-8.16,-0.85,0.79,0.18,21,14
5312,4.14,6.73,-5.78,-0.68,0.64,0.19,23,15
5334,4.46,6.11,-5.63,-0.02,0.15,-0.21,24,21
5356,2.95,6.4,-9.37,0.09,0.16,-0.37,20,17
5378,3.08,7.51,-7.3,-0.27,0.68,0.04,21,13
5400,4.7,7.47,-4.96,-0.19,0.73,0.26,19,22
5422,6.01,7.32,-5.06,-0.07,0.45,0.1,21,16
5444,5.43,7.33,-5.0,0.03,0.13,-0.06,18,20
5466,5.23,7.16,-5.36,0.09,-0.01,-0.02,20,21
5488,5.33,6.85,-5.93,0.09,-0.06,-0.05,23,15
5510,4.75,6.67,-6.66,0.04,-0.03,-0.13,22,18
5532,4.65,6.9,-6.74,-0.03,0.08,-0.14,22,14
5554,4.63,7.01,-6.09,-0.14,0.17,-0.09,20,19
5576,4.89,7.13,-5.8,-0.17,0.19,-0.04,20,14
5598,5.11,6.99,-5.59,-0.18,0.11,-0.02,20,18
5625,5.07,7.14,-5.67,-0.19,0.08,-0.02,22,17
5647,4.82,7.33,-5.88,-0.1,0.02,0.03,20,25
5669,5.03,7.17,-6.18,-0.05,0.1,0.06,21,22
5691,4.63,7.17,-5.72,-0.04,0.12,0.07,22,22
5713,5.07,7.3,-5.98,-0.05,0.18,0.05,21,20
5735,4.87,7.01,-5.49,-0.0,0.21,0.03,27,28
5757,5.23,7.01,-5.51,0.1,0.21,-0.01,21,22
5779,5.19,7.11,-5.67,0.1,0.13,-0.13,24,16
5801,5.12,7.19,-5.55,0.08,0.06,-0.18,26,24
5823,5.19,7.3,-5.63,0.02,-0.04,-0.2,25,10
5845,5.3,7.17,-5.65,-0.05,-0.26,-0.41,18,25
5867,4.45,7.25,-6.11,-0.06,-0.28,-0.37,22,19
5889,5.16,7.12,-6.58,-0.13,-0.28,-0.3,22,22
5911,4.55,7.33,-5.89,-0.16,-0.2,-0.15,23,23
5933,4.27,7.14,-5.73,-0.22,-0.22,-0.09,20,28
5955,4.5,7.14,-5.39,-0.19,-0.23,-0.03,22,32
5977,4.59,7.26,-5.45,-0.1,-0.18,0.06,19,26
5999,4.62,7.26,-5.45,-0.11,-0.05,0.19,24,27
6021,4.84,7.06,-5.82,-0.07,0.01,0.18,21,26
6043,4.64,7.36,-5.74,-0.0,0.06,0.11,21,32
6065,4.45,7.53,-5.54,0.05,0.17,0.07,19,20
6087,4.36,7.85,-5.4,0.14,0.32,0.11,25,14
6109,5.65,9.14,-4.58,0.23,0.21,0.13,26,16
6131,5.89,7.99,-2.94,0.69,-0.31,0.17,20,17
6153,6.42,6.71,-4.19,0.72,-0.76,0.17,19,7
6175,4.36,5.09,-8.39,0.42,-0.79,-0.06,20,7
6197,3.33,6.5,-8.49,-0.5,-0.02,0.25,20,11
6219,3.55,6.96,-8.11,-0.8,0.42,0.41,20,9
6241,4.84,6.34,-4.79,-0.53,0.37,0.31,20,11
6263,4.93,6.17,-5.6,-0.01,-0.0,-0.03,21,9
6285,3.57,6.29,-8.51,0.17,-0.02,-0.19,18,10
6307,3.92,7.33,-6.99,-0.16,0.4,0.02,20,19
6329,5.15,7.31,-5.31,-0.13,0.41,0.04,20,15
6351,5.47,7.52,-4.9,-0.02,0.19,-0.06,20,16
6373,4.94,7.41,-5.49,-0.04,0.04,-0.12,22,15
6395,4.66,7.3,-5.83,-0.05,0.05,-0.07,24,19
6417,4.95,6.82,-6.17,-0.08,0.07,-0.04,22,14
6439,5.02,6.62,-6.16,-0.19,0.09,-0.1,25,18
6461,4.51,7.63,-5.1,-0.18,0.16,-0.08,20,22
6483,4.65,7.22,-6.0,-0.03,0.08,0.04,25,18
6505,4.92,6.84,-5.47,0.08,0.16,0.04,21,20
6527,4.82,7.07,-5.64,0.13,0.17,-0.0,22,21
6549,4.86,7.23,-6.06,0.11,0.28,-0.01,20,14
6571,4.56,7.25,-5.92,0.18,0.4,-0.01,20,21
6593,5.27,7.53,-5.67,0.13,0.31,-0.06,21,22
6615,5.47,7.37,-5.33,0.09,0.12,-0.2,23,32
6637,6.18,8.08,-5.63,-0.03,-0.15,-0.42,22,22
6659,5.23,7.48,-5.8,-0.12,-0.38,-0.45,21,13
6681,4.2,7.11,-5.81,-0.16,-0.36,-0.29,23,25
6703,4.77,7.08,-6.03,-0.1,-0.29,-0.14,20,25
6725,4.56,7.32,-5.71,-0.12,-0.21,-0.03,20,29
6747,4.42,7.29,-5.71,-0.08,-0.16,0.08,22,25
6769,4.27,7.13,-6.13,-0.09,-0.01,0.26,20,21
6791,4.79,7.06,-5.29,0.01,0.18,0.32,22,15
6813,4.37,6.6,-5.71,0.14,0.32,0.43,20,9
6835,5.45,6.97,-6.26,0.18,0.36,0.35,22,15
6857,4.59,7.39,-5.9,0.19,0.59,0.39,20,22
6879,4.85,7.32,-5.87,0.17,0.6,0.48,20,26
6901,5.73,6.89,-5.62,0.06,0.28,0.3,22,16
6923,5.44,7.35,-5.42,-0.01,0.05,-0.02,24,15
6945,4.8,7.15,-5.23,0.03,0.0,-0.0,22,18
6967,5.4,7.13,-5.93,0.04,-0.05,-0.0,19,17
6989,6.26,7.21,-6.11,-0.1,-0.32,-0.22,20,23
7011,5.29,6.83,-5.55,-0.17,-0.49,-0.46,23,26
7033,5.06,7.21,-5.54,-0.13,-0.42,-0.39,20,19
7055,4.98,7.53,-5.81,-0.17,-0.41,-0.39,23,23
7077,4.46,7.25,-5.99,-0.21,-0.48,-0.46,20,33
7099,4.16,7.29,-6.05,-0.24,-0.38,-0.37,26,24
7121,5.12,7.35,-6.15,-0.11,-0.17,-0.19,20,27
7143,4.57,7.26,-5.47,-0.12,-0.13,-0.16,22,27
7165,4.6,7.29,-5.46,-0.0,-0.13,-0.06,21,25
7187,4.54,7.61,-6.15,-0.07,-0.2,-0.07,24,30
7209,3.72,7.66,-5.54,-0.21,-0.18,0.15,20,34
7231,4.12,7.61,-6.57,-0.15,-0.1,0.32,19,31
7253,4.22,7.21,-6.0,-0.12,-0.07,0.3,20,26
7275,4.05,7.54,-6.26,-0.01,0.16,0.17,22,24
7297,4.87,7.72,-5.19,0.09,0.37,0.1,22,16
7319,7.41,8.42,-3.5,0.41,0.31,-0.12,20,15
7341,5.34,9.51,-1.16,1.24,-0.53,-0.1,20,10
